subj_idx,condition,rt,response,ams,pams,slps,ams_quantile,pams_quantile,slps_quantile,ams_bin,pam_bin,slp_bin
sub-04,1.0,0.4073231,a,0.2515975761952739,0.191504574301481,-0.9228776648774519,3rd,3rd,1st,0.30650564631918387,0.30439803046294756,-1.234351863704512
sub-04,0.0,0.4136806,f,-0.35488938308402856,0.8070410931502089,-0.8621856151478346,2nd,4th,1st,-0.19491998907375852,1.2313996091069779,-1.234351863704512
sub-04,0.0,0.6597787,f,-0.6282596589381055,-0.06083993140661299,-0.9498919308135033,1st,2nd,1st,-1.195873487968614,-0.280765982095129,-1.234351863704512
sub-04,0.0,0.4887895,f,-1.8316932388015983,-2.120661888722112,-0.9696010961262301,1st,1st,1st,-1.195873487968614,-1.2550316574747953,-1.234351863704512
sub-04,1.0,0.4511443,a,-1.255311828372639,-1.0281397971725286,-0.7928743363488034,1st,1st,1st,-1.195873487968614,-1.2550316574747953,-1.234351863704512
sub-04,1.0,0.4808281,a,-3.1055979630754473,-0.7804348187282417,-0.7379672446934938,1st,1st,2nd,-1.195873487968614,-1.2550316574747953,-0.4084657809195328
sub-04,0.0,0.6165191,f,-0.20079739773626684,-0.6164129135136502,-0.6652094579400141,2nd,1st,2nd,-0.19491998907375852,-1.2550316574747953,-0.4084657809195328
sub-04,1.0,0.4595056,a,1.0584421893546752,0.39144477160408475,-1.1308857072513356,4th,3rd,1st,1.0842878307231887,0.30439803046294756,-1.234351863704512
sub-04,1.0,0.4612402,a,-0.1818995529967173,1.372334546242872,-1.08595594209783,2nd,4th,1st,-0.19491998907375852,1.2313996091069779,-1.234351863704512
sub-04,1.0,0.381215,a,-1.1944875923740719,0.4271576042444952,-1.046842178847901,1st,3rd,1st,-1.195873487968614,0.30439803046294756,-1.234351863704512
sub-04,1.0,0.496209,a,-0.9234407534113716,-0.2831264870344557,-0.9957447661844192,1st,2nd,1st,-1.195873487968614,-0.280765982095129,-1.234351863704512
sub-04,1.0,0.5152375,a,0.6536436679037491,-0.4165343644115961,-1.0029044153785633,4th,2nd,1st,1.0842878307231887,-0.280765982095129,-1.234351863704512
sub-04,1.0,0.3632557,a,-0.2756685388276497,0.67157344852892,-1.210288640373332,2nd,4th,1st,-0.19491998907375852,1.2313996091069779,-1.234351863704512
sub-04,0.0,0.5202445,f,-0.23171103986551278,-0.0018955854807301347,-1.320781503865863,2nd,3rd,1st,-0.19491998907375852,0.30439803046294756,-1.234351863704512
sub-04,0.0,0.8293014,a,0.5422192243963998,-4.223564400564424,-1.4710618427774858,3rd,1st,1st,0.30650564631918387,-1.2550316574747953,-1.234351863704512
sub-04,0.0,0.6133152,f,-0.8866972254772565,-0.23921729444490306,-1.5534350537333987,1st,2nd,1st,-1.195873487968614,-0.280765982095129,-1.234351863704512
sub-04,1.0,0.4313025,a,-0.316857196247654,0.5916880786063802,-1.506431602168458,2nd,3rd,1st,-0.19491998907375852,0.30439803046294756,-1.234351863704512
sub-04,0.0,0.4623256,a,-0.16790718409398536,-0.06657086091468352,-1.7490673917523547,2nd,2nd,1st,-0.19491998907375852,-0.280765982095129,-1.234351863704512
sub-04,1.0,0.7570469,f,-0.3412405347878829,-0.935597752092041,-1.6438965024351402,2nd,1st,1st,-0.19491998907375852,-1.2550316574747953,-1.234351863704512
sub-04,0.0,0.6980693,f,-0.7754291710292264,0.2949496121146034,-1.4476571129004985,1st,3rd,1st,-1.195873487968614,0.30439803046294756,-1.234351863704512
sub-04,1.0,0.4709905,a,1.4204393832521334,-0.10931090424397835,-1.5467641758820152,4th,2nd,1st,1.0842878307231887,-0.280765982095129,-1.234351863704512
sub-04,1.0,0.4177372,a,-0.9119422003563147,-0.2072546046703965,-1.3568798723350373,1st,2nd,1st,-1.195873487968614,-0.280765982095129,-1.234351863704512
sub-04,1.0,0.4995434,a,-0.7443037159781044,0.031170365549546837,-1.3175928010017897,1st,3rd,1st,-1.195873487968614,0.30439803046294756,-1.234351863704512
sub-04,1.0,0.3722075,a,2.038333351774256,1.3485924734864974,-1.4069455054722346,4th,4th,1st,1.0842878307231887,1.2313996091069779,-1.234351863704512
sub-04,0.0,0.435878,f,-1.0850562754983313,-0.42114688754518076,-1.3200688886910261,1st,2nd,1st,-1.195873487968614,-0.280765982095129,-1.234351863704512
sub-04,1.0,0.564244,a,-0.9094845632608618,0.4450949811240233,-1.0625504353040103,1st,3rd,1st,-1.195873487968614,0.30439803046294756,-1.234351863704512
sub-04,0.0,0.4145864,f,-0.20246016598060265,0.38224014688644947,-1.268050143625879,2nd,3rd,1st,-0.19491998907375852,0.30439803046294756,-1.234351863704512
sub-04,0.0,0.8102361,f,-0.4926884816816345,1.2175457522525759,-1.2178101580746499,1st,4th,1st,-1.195873487968614,1.2313996091069779,-1.234351863704512
sub-04,0.0,0.4073152,a,-0.522370708138619,-0.7349837680500214,-1.3951924384770362,1st,1st,1st,-1.195873487968614,-1.2550316574747953,-1.234351863704512
sub-04,1.0,0.4899442,a,-1.0151099149443,0.787967531745205,-1.058358481757947,1st,4th,1st,-1.195873487968614,1.2313996091069779,-1.234351863704512
sub-04,1.0,0.8046265,a,-0.4688247528320909,-0.304812099386428,-0.8998407723781197,1st,2nd,1st,-1.195873487968614,-0.280765982095129,-1.234351863704512
sub-04,1.0,0.4393003,a,0.6526191172307634,-0.7711938084071207,-0.38607914135342014,4th,1st,2nd,1.0842878307231887,-1.2550316574747953,-0.4084657809195328
sub-04,1.0,0.5289616,a,0.5398769839664141,-3.4577070739731175,-0.5364456194745153,3rd,1st,2nd,0.30650564631918387,-1.2550316574747953,-0.4084657809195328
sub-04,0.0,0.525644,f,0.5512549095786693,-0.7885644821039293,-0.6245740065230786,3rd,1st,2nd,0.30650564631918387,-1.2550316574747953,-0.4084657809195328
sub-04,0.0,0.4948959,f,0.7979901939418346,-0.005210510917365067,-0.61369270405488,4th,2nd,2nd,1.0842878307231887,-0.280765982095129,-0.4084657809195328
sub-04,0.0,0.3470105,f,-0.1907138942561705,0.24594718140843647,-0.6615999077202231,2nd,3rd,2nd,-0.19491998907375852,0.30439803046294756,-0.4084657809195328
sub-04,1.0,0.5637143,a,0.41477478257342143,-0.15683887834121024,-0.6531859471029007,3rd,2nd,2nd,0.30650564631918387,-0.280765982095129,-0.4084657809195328
sub-04,0.0,0.7787372,f,0.5265323889890086,1.5686146213578247,-0.7067673625396084,3rd,4th,2nd,0.30650564631918387,1.2313996091069779,-0.4084657809195328
sub-04,1.0,0.5210872,a,0.662933595774725,-3.7169038077527636,-0.5544380170109672,4th,1st,2nd,1.0842878307231887,-1.2550316574747953,-0.4084657809195328
sub-04,1.0,0.4687456,a,0.038947562198271786,-0.3166652228521301,-0.5428132691262129,2nd,2nd,2nd,-0.19491998907375852,-0.280765982095129,-0.4084657809195328
sub-04,0.0,0.5714443,f,-0.49176670527726835,0.48438848886800717,-0.28697511859191754,1st,3rd,2nd,-1.195873487968614,0.30439803046294756,-0.4084657809195328
sub-04,1.0,0.4294499,a,0.27452696006149185,0.17683369165075796,-0.262580802979071,3rd,3rd,2nd,0.30650564631918387,0.30439803046294756,-0.4084657809195328
sub-04,0.0,0.8235001,a,0.3385102195631882,-0.7561244256512154,-0.4415539586894059,3rd,1st,2nd,0.30650564631918387,-1.2550316574747953,-0.4084657809195328
sub-04,1.0,0.398975,a,-0.42117959547035194,0.5523951099083735,-0.5350872127426468,2nd,3rd,2nd,-0.19491998907375852,0.30439803046294756,-0.4084657809195328
sub-04,0.0,0.418994,f,-0.9016041730374486,0.8973783987173896,-0.34171501764467993,1st,4th,2nd,-1.195873487968614,1.2313996091069779,-0.4084657809195328
sub-04,1.0,0.3530179,a,-0.7961065477446374,1.725262045878757,-0.44188815195911224,1st,4th,2nd,-1.195873487968614,1.2313996091069779,-0.4084657809195328
sub-04,0.0,0.4230468,f,-0.005459527904135417,-0.7827114379494027,-0.434508521794724,2nd,1st,2nd,-0.19491998907375852,-1.2550316574747953,-0.4084657809195328
sub-04,0.0,0.5419779,f,-1.0978523715711217,0.5587086651880392,-0.500076181790891,1st,3rd,2nd,-1.195873487968614,0.30439803046294756,-0.4084657809195328
sub-04,1.0,0.5880999,a,-0.7892768996928937,1.3240017765011385,-0.4437943031518476,1st,4th,2nd,-1.195873487968614,1.2313996091069779,-0.4084657809195328
sub-04,0.0,0.4743833,f,-0.3388457188742259,0.36279004113357977,-0.5151444270653295,2nd,3rd,2nd,-0.19491998907375852,0.30439803046294756,-0.4084657809195328
sub-04,1.0,0.508799,a,0.26353920322849456,-1.2883399287574664,-0.4643591941581834,3rd,1st,2nd,0.30650564631918387,-1.2550316574747953,-0.4084657809195328
sub-04,0.0,0.47775,f,-0.35008308916115594,0.6580643758201453,-0.13976032860667456,2nd,4th,2nd,-0.19491998907375852,1.2313996091069779,-0.4084657809195328
sub-04,0.0,0.668426,a,-1.041168439062785,0.12181787134427713,-0.29165354166893953,1st,3rd,2nd,-1.195873487968614,0.30439803046294756,-0.4084657809195328
sub-04,0.0,0.4527611,f,-0.6555008916169941,-1.806959754162259,-0.20512712368617236,1st,1st,2nd,-1.195873487968614,-1.2550316574747953,-0.4084657809195328
sub-04,0.0,0.361116,a,-0.2791546011045751,-0.462373082444103,-0.3359752320822496,2nd,2nd,2nd,-0.19491998907375852,-0.280765982095129,-0.4084657809195328
sub-04,0.0,0.3941188,f,-0.09972188522467554,1.668059813622206,-0.4281644273049997,2nd,4th,2nd,-0.19491998907375852,1.2313996091069779,-0.4084657809195328
sub-04,1.0,0.450866,a,-0.23269047082877536,-0.6181471073536201,-0.5217536645701006,2nd,1st,2nd,-0.19491998907375852,-1.2550316574747953,-0.4084657809195328
sub-04,1.0,0.2574666,a,0.2466556074263639,-0.8178843331131339,-0.5617303244153451,3rd,1st,2nd,0.30650564631918387,-1.2550316574747953,-0.4084657809195328
sub-04,0.0,0.4051349,f,-0.6526138230409525,1.176692369844752,-0.07461131734174944,1st,4th,3rd,-1.195873487968614,1.2313996091069779,0.28736786252048707
sub-04,1.0,0.3225135,a,0.3789579058838718,-0.7555691875617883,-0.08522645397465828,3rd,1st,3rd,0.30650564631918387,-1.2550316574747953,0.28736786252048707
sub-04,1.0,0.3848559,a,-0.28052750306602364,-1.2867369666973612,-0.2949637278052453,2nd,1st,2nd,-0.19491998907375852,-1.2550316574747953,-0.4084657809195328
sub-04,1.0,0.2559051,a,0.5780458440252775,1.6347863298905685,-0.3685015160057097,3rd,4th,2nd,0.30650564631918387,1.2313996091069779,-0.4084657809195328
sub-04,0.0,0.5011677,f,-1.0893904077884495,0.5377810344106705,-0.3953739458907797,1st,3rd,2nd,-1.195873487968614,0.30439803046294756,-0.4084657809195328
sub-04,0.0,0.5338771,f,-0.6420752939525233,-1.313288578187599,-0.7309661725707134,1st,1st,2nd,-1.195873487968614,-1.2550316574747953,-0.4084657809195328
sub-04,1.0,0.5235823,a,-0.1455945838603831,-0.39685954904996423,-0.4446371540515604,2nd,2nd,2nd,-0.19491998907375852,-0.280765982095129,-0.4084657809195328
sub-04,1.0,0.3053152,a,0.8760978778723565,0.5105829720318408,-0.4842600002653355,4th,3rd,2nd,1.0842878307231887,0.30439803046294756,-0.4084657809195328
sub-04,0.0,0.3839855,f,-0.8127146701834379,0.07505297902589818,-0.1531708004769373,1st,3rd,2nd,-1.195873487968614,0.30439803046294756,-0.4084657809195328
sub-04,0.0,0.5600137,f,-0.3949281466459294,-0.08408102312445569,-0.3186117268383793,2nd,2nd,2nd,-0.19491998907375852,-0.280765982095129,-0.4084657809195328
sub-04,0.0,0.4080032,f,0.34795119887090253,0.11772385860976331,-0.15616428411931244,3rd,3rd,2nd,0.30650564631918387,0.30439803046294756,-0.4084657809195328
sub-04,1.0,0.4100307,a,1.2447840050356496,-0.8479228360731178,-0.1637854860073825,4th,1st,2nd,1.0842878307231887,-1.2550316574747953,-0.4084657809195328
sub-04,0.0,0.5266779,f,-0.5914066731265907,-0.28646048640568095,-0.4808192586474281,1st,2nd,2nd,-1.195873487968614,-0.280765982095129,-0.4084657809195328
sub-04,1.0,0.4057099,a,0.1335885770133155,0.7029334849005114,-0.29725855019143077,3rd,4th,2nd,0.30650564631918387,1.2313996091069779,-0.4084657809195328
sub-04,1.0,0.4124093,a,-0.9652074985673741,0.7215803292166623,-0.4872037341903395,1st,4th,2nd,-1.195873487968614,1.2313996091069779,-0.4084657809195328
sub-04,1.0,0.3867173,a,-0.004408948639269256,0.3138843484478478,-0.35331586508804813,2nd,3rd,2nd,-0.19491998907375852,0.30439803046294756,-0.4084657809195328
sub-04,0.0,0.5010758,f,0.6366158364360085,-2.9208603832663083,-0.3580580653375165,4th,1st,2nd,1.0842878307231887,-1.2550316574747953,-0.4084657809195328
sub-04,0.0,0.5544263,f,-0.7210494439867353,-0.8148715014818478,-0.4183366276874335,1st,1st,2nd,-1.195873487968614,-1.2550316574747953,-0.4084657809195328
sub-04,0.0,0.5181187,f,0.3856909710655335,0.4184998209385597,-0.4347503815073631,3rd,3rd,2nd,0.30650564631918387,0.30439803046294756,-0.4084657809195328
sub-04,1.0,0.4558251,a,0.530570479202777,-0.2674759505171249,-0.3641134335892558,3rd,2nd,2nd,0.30650564631918387,-0.280765982095129,-0.4084657809195328
sub-04,1.0,0.3911092,a,0.9228580040028985,0.6865673026503537,-0.5452402143672649,4th,4th,2nd,1.0842878307231887,1.2313996091069779,-0.4084657809195328
sub-04,0.0,0.3661398,f,-0.10319075619703401,-0.13665193820208757,-0.6177133590794404,2nd,2nd,2nd,-0.19491998907375852,-0.280765982095129,-0.4084657809195328
sub-04,1.0,0.5305389,a,-0.04493773650934194,-0.4501538638294854,-0.3885685730348742,2nd,2nd,2nd,-0.19491998907375852,-0.280765982095129,-0.4084657809195328
sub-04,0.0,0.4168201,f,0.49002849640482654,0.11836125974569374,-0.5232091521809753,3rd,3rd,2nd,0.30650564631918387,0.30439803046294756,-0.4084657809195328
sub-04,1.0,0.6282072,a,-1.1342332753773823,-1.870693907150732,-0.40263147037398245,1st,1st,2nd,-1.195873487968614,-1.2550316574747953,-0.4084657809195328
sub-04,1.0,0.3395273,a,1.1452136952960073,0.2786321927928775,-0.3360248975453062,4th,3rd,2nd,1.0842878307231887,0.30439803046294756,-0.4084657809195328
sub-04,1.0,0.2982634,a,0.8405726568519016,-0.4564539222271748,-1.2385717302025945,4th,2nd,1st,1.0842878307231887,-0.280765982095129,-1.234351863704512
sub-04,0.0,0.501562,f,-0.6344207925332638,-0.35574477080809674,-1.3235930184891889,1st,2nd,1st,-1.195873487968614,-0.280765982095129,-1.234351863704512
sub-04,0.0,0.3980758,f,-0.5678559868195574,-1.0516734249958868,-1.241416947230747,1st,1st,1st,-1.195873487968614,-1.2550316574747953,-1.234351863704512
sub-04,0.0,0.4207605,f,-0.9177016936729809,-0.5141612198321639,-1.0065012710659251,1st,2nd,1st,-1.195873487968614,-0.280765982095129,-1.234351863704512
sub-04,1.0,0.5254017,a,0.08612897703603813,-2.7271604828217657,-1.0484697316959406,3rd,1st,1st,0.30650564631918387,-1.2550316574747953,-1.234351863704512
sub-04,0.0,0.3241248,f,1.1491169680478837,0.7616545828615331,-1.128808798286138,4th,4th,1st,1.0842878307231887,1.2313996091069779,-1.234351863704512
sub-04,0.0,0.3594692,f,-0.2959811355318115,1.2342918375216907,-1.151633451480544,2nd,4th,1st,-0.19491998907375852,1.2313996091069779,-1.234351863704512
