ams,pams,slps,probe_accuracy,probe_rt,probe_attribute,cue_dimensionality,probe_leftrightwin,cue_color,cue_direction,cue_size,cue_luminance,subj,ams_quantile,pams_quantile,slps_quantile,am_bin,pa_bin,slp_bin
0.4241148789527971,-0.3123687568663799,1.2592580029078069,1.0,0.95018,4,2,1,1,1,1,1,sub-STSWD1135,3rd,2nd,4th,0.31061284983546605,-0.34398265603282646,1.1331065517624739
-0.9580819868141741,0.8899303381808107,1.3076690410048633,1.0,0.64912,3,2,2,1,1,1,1,sub-STSWD1135,1st,4th,4th,-1.2193429435686407,1.2634880918467066,1.1331065517624739
-0.7911223301849479,0.726839337694689,1.3004488892493837,1.0,0.571,4,2,1,1,1,1,1,sub-STSWD1135,1st,4th,4th,-1.2193429435686407,1.2634880918467066,1.1331065517624739
0.5691291981747756,1.2876602069669916,1.244395851801983,1.0,0.63203,4,2,2,1,1,1,1,sub-STSWD1135,3rd,4th,4th,0.31061284983546605,1.2634880918467066,1.1331065517624739
-0.18659021872744438,0.9319004496144572,1.2788131432906098,1.0,0.72783,1,3,1,1,1,1,1,sub-STSWD1135,2nd,4th,4th,-0.3975292985420119,1.2634880918467066,1.1331065517624739
1.705410837747271,1.913391190821457,1.1280591223855567,1.0,0.62593,2,3,2,1,1,1,1,sub-STSWD1135,4th,4th,4th,1.3049013227641468,1.2634880918467066,1.1331065517624739
1.6038072939868957,0.8059126932734796,1.1470282346662437,0.0,0.65779,2,3,1,1,1,1,1,sub-STSWD1135,4th,4th,4th,1.3049013227641468,1.2634880918467066,1.1331065517624739
0.8697183098281371,0.32551355888297107,1.251775281736204,1.0,0.47872,2,3,1,1,1,1,1,sub-STSWD1135,4th,3rd,4th,1.3049013227641468,0.30675450470793614,1.1331065517624739
1.1816175262925441,2.9654842033829922,1.3019996594399972,0.0,0.57164,2,3,2,1,1,1,1,sub-STSWD1135,4th,4th,4th,1.3049013227641468,1.2634880918467066,1.1331065517624739
0.9256138031825848,-0.30512472195109475,1.1930947127434464,0.0,0.6476,3,3,1,1,1,1,1,sub-STSWD1135,4th,2nd,4th,1.3049013227641468,-0.34398265603282646,1.1331065517624739
-0.28967230987144754,0.7403002969518204,1.1793556695864966,1.0,0.94053,3,3,1,1,1,1,1,sub-STSWD1135,2nd,4th,4th,-0.3975292985420119,1.2634880918467066,1.1331065517624739
1.1581773454802955,-0.8223046450557228,1.1261422487949242,1.0,0.66146,1,3,2,1,1,1,1,sub-STSWD1135,4th,1st,4th,1.3049013227641468,-1.2268416303862681,1.1331065517624739
-1.0351707682358127,0.2801485400985581,1.1510537155494844,1.0,0.91872,2,2,1,1,1,1,1,sub-STSWD1135,1st,3rd,4th,-1.2193429435686407,0.30675450470793614,1.1331065517624739
-1.0027160420705725,1.7586346811295455,1.248817137267061,1.0,0.59766,3,2,2,1,1,1,1,sub-STSWD1135,1st,4th,4th,-1.2193429435686407,1.2634880918467066,1.1331065517624739
0.659451257258046,2.2227942970976997,1.2654807228711655,1.0,0.49359,3,2,1,1,1,1,1,sub-STSWD1135,3rd,4th,4th,0.31061284983546605,1.2634880918467066,1.1331065517624739
0.531113586391172,-0.14005614486407295,1.1571063720845511,1.0,1.0435,3,2,1,1,1,1,1,sub-STSWD1135,3rd,2nd,4th,0.31061284983546605,-0.34398265603282646,1.1331065517624739
-0.5590413486390775,0.4942379948795969,1.0527568405455703,1.0,0.40447,2,2,2,1,1,1,1,sub-STSWD1135,2nd,3rd,4th,-0.3975292985420119,0.30675450470793614,1.1331065517624739
0.43937463875230304,-0.8338794446450637,1.0579095821599882,1.0,0.4325,3,2,2,1,1,1,1,sub-STSWD1135,3rd,1st,4th,0.31061284983546605,-1.2268416303862681,1.1331065517624739
0.6914369652965711,0.6712667630850685,1.1694838866135397,1.0,0.56434,2,2,1,1,1,1,1,sub-STSWD1135,3rd,4th,4th,0.31061284983546605,1.2634880918467066,1.1331065517624739
-0.7415728883002417,-0.5256529733261386,1.208171098467521,0.0,0.77319,2,2,2,1,1,1,1,sub-STSWD1135,1st,2nd,4th,-1.2193429435686407,-0.34398265603282646,1.1331065517624739
1.0521560031131467,-0.9141711334152086,1.2878579576315876,1.0,0.81615,4,4,1,1,1,1,1,sub-STSWD1135,4th,1st,4th,1.3049013227641468,-1.2268416303862681,1.1331065517624739
-0.03505011854714419,0.3956157378742396,1.2245987427472933,0.0,0.49352,4,4,1,1,1,1,1,sub-STSWD1135,3rd,3rd,4th,0.31061284983546605,0.30675450470793614,1.1331065517624739
1.256649199063211,0.6114499302457063,1.1553438517229981,1.0,0.81503,1,4,1,1,1,1,1,sub-STSWD1135,4th,3rd,4th,1.3049013227641468,0.30675450470793614,1.1331065517624739
1.7732660773391031,-0.07773434892697728,1.1470099082987477,0.0,0.84197,2,4,2,1,1,1,1,sub-STSWD1135,4th,2nd,4th,1.3049013227641468,-0.34398265603282646,1.1331065517624739
1.3191363583833795,0.5576378067906644,1.0452121878770675,1.0,0.67431,1,4,2,1,1,1,1,sub-STSWD1135,4th,3rd,4th,1.3049013227641468,0.30675450470793614,1.1331065517624739
1.03244873646014,0.3604773439798632,1.0378716201783535,1.0,0.83918,2,4,1,1,1,1,1,sub-STSWD1135,4th,3rd,4th,1.3049013227641468,0.30675450470793614,1.1331065517624739
-1.3391597762970022,-0.2252622508225752,1.105110505809195,1.0,1.1691,3,4,2,1,1,1,1,sub-STSWD1135,1st,2nd,4th,-1.2193429435686407,-0.34398265603282646,1.1331065517624739
-0.4851745550298155,2.743503265738741,1.1153005400172071,1.0,0.50305,3,4,1,1,1,1,1,sub-STSWD1135,2nd,4th,4th,-0.3975292985420119,1.2634880918467066,1.1331065517624739
-2.3308104165677395,-0.15478261892575354,0.9882924869704456,1.0,0.35091,2,1,2,1,1,1,1,sub-STSWD1135,1st,2nd,4th,-1.2193429435686407,-0.34398265603282646,1.1331065517624739
-0.4047147634175913,0.1563385855391915,1.0046579730051775,1.0,0.50482,2,1,2,1,1,1,1,sub-STSWD1135,2nd,3rd,4th,-0.3975292985420119,0.30675450470793614,1.1331065517624739
-1.7255596475002346,-0.5323693557597814,0.9947368747745543,1.0,0.2944,2,1,1,1,1,1,1,sub-STSWD1135,1st,2nd,4th,-1.2193429435686407,-0.34398265603282646,1.1331065517624739
-0.6246286881914425,-0.8240413826414845,0.9864184690853592,1.0,0.41872,2,1,1,1,1,1,1,sub-STSWD1135,2nd,1st,4th,-0.3975292985420119,-1.2268416303862681,1.1331065517624739
-0.5184239201447024,-0.6039474844609339,1.0897307858036538,0.0,0.49168,2,1,2,1,1,1,1,sub-STSWD1135,2nd,2nd,4th,-0.3975292985420119,-0.34398265603282646,1.1331065517624739
-0.2454956890205546,0.11446406495413276,1.1435854021741816,1.0,0.39861,2,1,2,1,1,1,1,sub-STSWD1135,2nd,3rd,4th,-0.3975292985420119,0.30675450470793614,1.1331065517624739
-0.971342605745769,-0.28504409642925765,1.0450243469205316,0.0,0.54515,2,1,2,1,1,1,1,sub-STSWD1135,1st,2nd,4th,-1.2193429435686407,-0.34398265603282646,1.1331065517624739
-1.2200672456560668,0.14940067867967932,0.9977100653579841,1.0,0.42956,2,1,2,1,1,1,1,sub-STSWD1135,1st,3rd,4th,-1.2193429435686407,0.30675450470793614,1.1331065517624739
-0.4072073155378236,0.22804453017166393,1.0106710418009783,1.0,0.92927,4,3,2,1,1,1,1,sub-STSWD1135,2nd,3rd,4th,-0.3975292985420119,0.30675450470793614,1.1331065517624739
-0.6656144551928475,0.17186064062751744,1.0792292061598923,0.0,0.99029,4,3,1,1,1,1,1,sub-STSWD1135,2nd,3rd,4th,-0.3975292985420119,0.30675450470793614,1.1331065517624739
0.6792355244695725,-0.2506424395374389,1.0778541815967995,1.0,0.5423,1,3,2,1,1,1,1,sub-STSWD1135,3rd,2nd,4th,0.31061284983546605,-0.34398265603282646,1.1331065517624739
0.5801565530330867,0.629451823097418,1.1571502006944498,1.0,0.75716,1,3,1,1,1,1,1,sub-STSWD1135,3rd,4th,4th,0.31061284983546605,1.2634880918467066,1.1331065517624739
-0.07052372609655695,-0.7569599931357374,1.0871191672591067,1.0,0.97909,3,3,2,1,1,1,1,sub-STSWD1135,3rd,1st,4th,0.31061284983546605,-1.2268416303862681,1.1331065517624739
-0.24917537184136485,1.1321065612603156,1.0397991609852448,1.0,0.52503,1,3,2,1,1,1,1,sub-STSWD1135,2nd,4th,4th,-0.3975292985420119,1.2634880918467066,1.1331065517624739
-0.7994498902987954,-0.20062837456342397,1.090503295325384,1.0,1.4079,3,3,2,1,1,1,1,sub-STSWD1135,1st,2nd,4th,-1.2193429435686407,-0.34398265603282646,1.1331065517624739
1.1956458024231567,0.14213507853442625,1.0650118243095197,0.0,0.6909,4,3,1,1,1,1,1,sub-STSWD1135,4th,3rd,4th,1.3049013227641468,0.30675450470793614,1.1331065517624739
