probe_accuracy,probe_rt,probe_attribute,cue_dimensionality,probe_leftrightwin,cue_color,cue_direction,cue_size,cue_luminance,subj_idx,ams,pams,slps,ams_quantile,pams_quantile,slps_quantile,ams_bin,pam_bin,slp_bin
0,0.91985,3,4,2,1,1,1,1,sub-STSWD1216,0.49435295491714665,0.006121097117915658,-1.1541433109498298,3rd,3rd,1st,0.320141900754554,0.24049706775089263,-1.3739422120497913
0,1.0769,2,4,2,1,1,1,1,sub-STSWD1216,1.1345617808156616,0.5837629837598535,-1.2216810328938976,4th,4th,1st,1.1897887619703815,1.2150354947650404,-1.3739422120497913
1,0.7978,2,4,1,1,1,1,1,sub-STSWD1216,0.5296298314048798,-0.48274871480059645,-1.46932291846123,3rd,2nd,1st,0.320141900754554,-0.3329187396169595,-1.3739422120497913
1,0.97273,4,4,2,1,1,1,1,sub-STSWD1216,-0.037464233643806875,-0.4650956611310943,-1.846253547616117,2nd,2nd,1st,-0.2640363056093601,-0.3329187396169595,-1.3739422120497913
1,0.48167,1,4,2,1,1,1,1,sub-STSWD1216,0.8719399961154237,0.16934626339771156,-1.23209506288687,4th,3rd,1st,1.1897887619703815,0.24049706775089263,-1.3739422120497913
1,0.8486,1,4,1,1,1,1,1,sub-STSWD1216,0.473472192216557,-0.007679389407951161,-1.468623098006055,3rd,3rd,1st,0.320141900754554,0.24049706775089263,-1.3739422120497913
1,0.71546,1,2,1,1,1,1,1,sub-STSWD1216,-0.7181392661420786,-0.5434470239758239,-1.636943380539999,1st,2nd,1st,-1.2450177071914317,-0.3329187396169595,-1.3739422120497913
1,0.66143,3,2,2,1,1,1,1,sub-STSWD1216,0.0019725976209007986,-1.0048065736528278,-1.496425772131309,2nd,1st,1st,-0.2640363056093601,-1.1240579115218812,-1.3739422120497913
1,0.88835,3,2,2,1,1,1,1,sub-STSWD1216,-0.36269557703721994,-0.34092721227296463,-1.2914161591782471,2nd,2nd,1st,-0.2640363056093601,-0.3329187396169595,-1.3739422120497913
1,0.5713,3,2,2,1,1,1,1,sub-STSWD1216,0.4012405915842552,-0.49592523555699264,-1.3342956200564846,3rd,2nd,1st,0.320141900754554,-0.3329187396169595,-1.3739422120497913
1,0.43622,1,2,2,1,1,1,1,sub-STSWD1216,-0.47839369100948337,-0.47095619821699874,-1.3628704037448007,2nd,2nd,1st,-0.2640363056093601,-0.3329187396169595,-1.3739422120497913
1,0.59216,1,2,1,1,1,1,1,sub-STSWD1216,0.4806839451818153,-0.6300752358416961,-1.4202958876332832,3rd,1st,1st,0.320141900754554,-1.1240579115218812,-1.3739422120497913
1,0.50109,3,2,2,1,1,1,1,sub-STSWD1216,0.6634491147946977,-0.6286107690963484,-1.0742060745561386,4th,1st,1st,1.1897887619703815,-1.1240579115218812,-1.3739422120497913
1,0.65794,1,2,2,1,1,1,1,sub-STSWD1216,0.296553338022264,-0.03302294313806379,-0.8997878053167977,3rd,3rd,2nd,0.320141900754554,0.24049706775089263,-0.32633622575605753
1,0.53289,4,3,1,1,1,1,1,sub-STSWD1216,0.3054207208243123,-0.6421941940971299,-0.7161244401644596,3rd,1st,2nd,0.320141900754554,-1.1240579115218812,-0.32633622575605753
