probe_accuracy,probe_rt,probe_attribute,cue_dimensionality,probe_leftrightwin,cue_color,cue_direction,cue_size,cue_luminance,subj_idx,ams,pams,slps,ams_quantile,pams_quantile,slps_quantile,ams_bin,pam_bin,slp_bin
1,0.80811,3,4,2,1,1,1,1,sub-STSWD1233,-1.1914843014188463,-1.101638125670058,0.3290664956583358,1st,1st,3rd,-1.2860982146834623,-1.1978702900943503,0.34582414820083346
0,0.783,1,4,2,1,1,1,1,sub-STSWD1233,0.5400168993660027,1.2141075916720256,0.43765501444131505,3rd,4th,3rd,0.3731243155455088,1.336695136513242,0.34582414820083346
1,0.43394,1,2,1,1,1,1,1,sub-STSWD1233,-0.516823516264963,-0.4847950175358832,0.24049338826533878,2nd,2nd,3rd,-0.3076324085534442,-0.4070394891573359,0.34582414820083346
1,0.64392,1,2,2,1,1,1,1,sub-STSWD1233,-1.03887307863895,1.182010223536721,0.10949802135875591,1st,4th,3rd,-1.2860982146834623,1.336695136513242,0.34582414820083346
1,0.42877,4,2,2,1,1,1,1,sub-STSWD1233,0.7842071096754162,0.9342917542542298,0.06429194429274886,4th,4th,2nd,1.2264363751217964,1.336695136513242,-0.23425375954444058
1,0.5617,4,2,2,1,1,1,1,sub-STSWD1233,0.5450634343258965,0.43392759841198913,-0.20804398952046077,3rd,3rd,2nd,0.3731243155455088,0.27247201802000537,-0.23425375954444058
0,0.7777,1,2,2,1,1,1,1,sub-STSWD1233,0.4456497947761263,0.0522132757519042,-0.425348495108122,3rd,3rd,2nd,0.3731243155455088,0.27247201802000537,-0.23425375954444058
1,0.59365,4,2,1,1,1,1,1,sub-STSWD1233,0.3748450031310911,0.1276755325822116,-0.3604614808365868,3rd,3rd,2nd,0.3731243155455088,0.27247201802000537,-0.23425375954444058
0,0.78758,4,2,1,1,1,1,1,sub-STSWD1233,-1.4975221084245334,-0.953543609586608,-0.36529934155266175,1st,1st,2nd,-1.2860982146834623,-1.1978702900943503,-0.23425375954444058
1,0.71252,1,2,1,1,1,1,1,sub-STSWD1233,0.705337105871772,-0.3853302580964714,-0.6632309245303382,4th,2nd,1st,1.2264363751217964,-0.4070394891573359,-1.3219831200753307
1,0.75339,1,4,2,1,1,1,1,sub-STSWD1233,0.2575904631717505,-0.46144687009395097,-0.9111798094314363,3rd,2nd,1st,0.3731243155455088,-0.4070394891573359,-1.3219831200753307
1,0.61934,3,4,2,1,1,1,1,sub-STSWD1233,0.4109782422725015,0.4312758519500831,-0.9553579583831624,3rd,3rd,1st,0.3731243155455088,0.27247201802000537,-1.3219831200753307
1,0.95126,4,4,2,1,1,1,1,sub-STSWD1233,-0.7127292148940506,0.48428367238173137,-1.2160596484594164,1st,3rd,1st,-1.2860982146834623,0.27247201802000537,-1.3219831200753307
1,0.52122,4,4,1,1,1,1,1,sub-STSWD1233,-0.24785947412277204,-0.5593257418017439,-1.1089607107267534,2nd,2nd,1st,-0.3076324085534442,-0.4070394891573359,-1.3219831200753307
1,0.59815,2,4,2,1,1,1,1,sub-STSWD1233,1.4943880318613472,-1.2389537534836543,-1.1392566928450272,4th,1st,1st,1.2264363751217964,-1.1978702900943503,-1.3219831200753307
1,0.52007,2,4,1,1,1,1,1,sub-STSWD1233,-0.4060225050798566,-0.09615191398334187,-1.0018176503902272,2nd,2nd,1st,-0.3076324085534442,-0.4070394891573359,-1.3219831200753307
1,0.50201,2,4,2,1,1,1,1,sub-STSWD1233,1.1333263779076839,0.06447159837971407,-1.2346587862304546,4th,3rd,1st,1.2264363751217964,0.27247201802000537,-1.3219831200753307
1,0.51995,1,4,1,1,1,1,1,sub-STSWD1233,-0.10493528450096268,-0.7801644086242785,-1.328199144294026,2nd,1st,1st,-0.3076324085534442,-1.1978702900943503,-1.3219831200753307
1,0.43083,1,1,2,1,1,1,1,sub-STSWD1233,0.3904544971979418,-0.5553351879154482,-1.6986713564395066,3rd,2nd,1st,0.3731243155455088,-0.4070394891573359,-1.3219831200753307
1,0.32977,1,1,1,1,1,1,1,sub-STSWD1233,-1.7336990931151062,-0.8156920894965123,-1.5204792327010017,1st,1st,1st,-1.2860982146834623,-1.1978702900943503,-1.3219831200753307
0,0.34059,1,1,1,1,1,1,1,sub-STSWD1233,2.3683810099472358,-0.6601672993348465,-1.5407453656817915,4th,2nd,1st,1.2264363751217964,-0.4070394891573359,-1.3219831200753307
1,0.32464,1,1,2,1,1,1,1,sub-STSWD1233,-0.4375974535650332,-0.9136993446326199,-1.7882003231155446,2nd,1st,1st,-0.3076324085534442,-1.1978702900943503,-1.3219831200753307
