,v_pam_bin
305,-0.038732120013383727
306,-0.03964338346345381
307,-0.038581973369175196
308,-0.03847700589808865
309,-0.039488812782633075
310,-0.03793839421445402
311,-0.04096710897313677
312,-0.04351277759696509
313,-0.03961824635816388
314,-0.031929047120988714
315,-0.03414179396903353
316,-0.04007297203807626
317,-0.04639437845044429
318,-0.01593308885718899
319,-0.02139201954616777
320,-0.019928723468822178
321,-0.01570138184562461
322,-0.02510855528349095
323,-0.01938900617764705
324,-0.01870422964502451
325,-0.0656438343601599
326,-0.06262861858293148
327,-0.08808885035365244
328,-0.038244495335733916
329,-0.0885987322808058
330,-0.07530648447332404
331,-0.03091472676485544
332,-0.04936565898643268
333,-0.045908087937393365
334,-0.039393549236036454
335,-0.035233502008110415
336,-0.03170802312878057
337,-0.022130458615480703
338,-0.012288695036007026
339,-0.009006470966991517
340,-0.04227758878770109
341,0.004127342654739967
342,0.022688061501431968
343,0.0225961046851261
344,0.032685913037608774
345,0.03980719401400274
346,0.04350684186616535
347,0.03553798510911864
348,0.02928810255873458
349,0.020910549666756213
350,0.014855757640869823
351,0.03594717773645738
352,0.015473832245326467
353,0.02151823974025986
354,0.020329149465743525
355,0.026383540434528785
356,0.019075946785169436
357,0.011151620676324341
358,0.013163495321614734
359,-0.001332672981677968
360,-0.010400980848698378
361,-0.027449183664581732
362,-0.015082579750411718
363,-0.018763504734113357
364,-0.0015127882356046826
365,0.01616544737205925
366,-0.01447045649876327
367,-0.026410219788662682
368,-0.02046796928190454
369,-0.022734272319654924
370,-0.043334854094776325
371,-0.05398947548008558
372,-0.043213277203715636
373,-0.05623543532274215
374,-0.05240206091854906
375,-0.062071791998823636
376,-0.04146510018634252
377,-0.03982170146070262
378,-0.043108497697814975
379,-0.04986630245123047
380,-0.05261460614593132
381,-0.006384027717471358
382,-0.0347755974366209
383,0.09160947888225261
384,0.07063658314526872
385,-0.02335242283725485
386,0.046709586738073426
387,0.04637939263645148
388,0.06388731225340048
389,0.061485381450850474
390,-0.011010938918686718
391,-0.028238347247870235
392,0.01342578846185784
393,-0.006443954421096389
394,-0.017616621042448172
395,-0.0242155660129282
396,0.01923232210793282
397,-0.039622614640352855
398,-0.03237053172764429
399,0.004529642701957665
400,0.07412332380013165
401,0.0665673821670906
402,0.14671251194001297
403,0.06612305485730538
404,0.053765209774600954
405,0.014702942456321581
406,0.04575583226215718
407,0.022741676367638988
408,0.02217182502400957
409,-0.02656472598874469
410,-0.024692324574598554
411,-0.0231948162791591
412,-0.037057059238558517
413,-0.052468421376700755
414,-0.0368245718617336
415,-0.004870550270990908
416,-0.006864428406047369
417,-0.02463990300668984
418,-0.005917944313509356
419,-0.04266318266051144
420,-0.025060622369060738
421,-0.061908437944819386
422,-0.08369769529009366
423,0.004295665406487864
424,-0.034498317964755644
425,0.05147862353906224
426,-0.039736719194648176
427,-0.008171394791518979
428,-0.0034350549215856774
429,-0.03535800452854791
430,0.02041279242699935
431,0.043754952883880094
432,0.035559353518657424
433,-0.028750949113910313
434,-0.031738696237797
435,0.0380449566992714
436,0.019250533933795593
437,0.009130559725612886
438,-0.015283128652870024
439,-0.02317465313115119
440,-0.003771605480785093
441,-0.04884996388387461
442,-0.055289438901918814
443,-0.058342131210065123
444,-0.04983684980650701
445,-0.03829867445418463
446,-0.040602768241526754
447,-0.04687951602909317
448,-0.03482583825018473
449,-0.04385780599023191
450,-0.03470089273849755
451,-0.04731513952213026
452,-0.04530524625553196
453,-0.04264523307268834
454,-0.05482435603547367
455,-0.054790034586274475
456,-0.04270869402740107
457,-0.06234910901274196
458,-0.06858766474290473
459,-0.06527380402762756
460,-0.06087172225647442
461,-0.054375767937543444
462,-0.06170094117786821
463,-0.06331564529942951
464,-0.0702813146711875
465,-0.06278553462932995
466,-0.06427174422016298
467,-0.06994940200625728
468,-0.07251593360960645
469,-0.07059670429618167
470,-0.07640188931384177
471,-0.07403218765319369
472,-0.07851851475670389
473,-0.06853198336097445
474,-0.07034470125842926
475,-0.08571071767733218
476,-0.06970907279122793
477,-0.07021716977292454
478,-0.06581356794779088
479,-0.07111108255817515
480,-0.06704874942860459
481,-0.07110254274651799
482,-0.07572370261249878
483,-0.07639222064916074
484,-0.06796738321888021
485,-0.06528399581113868
486,-0.06755409735216694
487,-0.07555989793051765
488,-0.06466048538134316
489,-0.06843936915938106
490,-0.08325450396368458
491,-0.07374114509503815
492,-0.06565706186484749
493,-0.08133449981042296
494,-0.072244903567169
495,-0.07205698628643448
496,-0.06641696392410831
497,-0.06506979975677726
498,-0.06603734654152725
499,-0.06936073354733473
500,-0.07159644257120246
501,-0.07200269850748148
502,-0.07169585004396717
503,-0.0707508254386224
504,-0.08013872870271829
505,-0.07860072345009492
506,-0.0859946816194611
507,-0.07112987738476975
508,-0.06492271152539121
509,-0.08991173255558525
510,-0.11696991175498998
511,-0.11179557560561412
512,-0.11234242338869069
513,-0.1068793229856296
514,-0.11114549385017733
515,-0.11772738236693348
516,-0.11894242186886515
517,-0.11875110019638863
518,-0.11642024941264381
519,-0.11668356668817086
520,-0.11199743923590197
521,-0.11103507945556015
522,-0.1064720611378709
523,-0.10250863913061888
524,-0.09531828505340618
525,-0.09142772537301737
526,-0.08390224859928128
527,-0.07862962958653133
528,-0.07400991633944547
529,-0.08167580317374289
530,-0.07213383279051316
531,-0.07642869102907027
532,-0.08028094503808818
533,-0.0835819600983059
534,-0.08507401188240886
535,-0.08717156385159572
536,-0.09033977362167935
537,-0.08787671331405883
538,-0.08271717099658775
539,-0.08474184587130781
540,-0.09787109458362717
541,-0.09279760460328608
542,-0.09749767320916247
543,-0.10007147939677503
544,-0.07513263056790315
545,-0.0641603628438186
546,-0.05122303068232335
547,-0.10612980358388271
548,-0.11831464111510956
549,-0.0992046697429922
550,-0.07403876500820708
551,-0.042459308856248074
552,-0.047106237675215705
553,-0.0426058686140462
554,-0.05578376033447606
555,-0.068632637130876
556,-0.05504089706507986
557,-0.05661434864185436
558,-0.04641185021331613
559,-0.01918911349120209
560,-0.043235874231972726
561,-0.046950769958639234
562,-0.04728990067007474
563,-0.03453111599772113
564,-0.03603616812028952
565,-0.043343950873976494
566,-0.040796993152640154
567,-0.035549078455179024
568,-0.038413868016228085
569,-0.03472799407919806
570,-0.023021315093476224
571,-0.00656024849098941
572,0.0006272535191317731
573,-0.005929564175260346
574,0.0019517230852164624
575,0.003241191760686317
576,0.00012681975137470553
577,0.0011142729858388456
578,0.004787640488775139
579,0.00371348364135582
580,-0.003514719528162546
581,-0.006500196670975008
582,-0.005048856201291538
583,-0.005415374768894537
584,-0.004649813205469248
585,-0.004829689169432365
586,-0.0050497637316095755
587,-0.003705039225965248
588,-0.0017901438860344356
589,-0.0019175344916482749
590,-0.0010434236326429557
591,-0.0009232862256713478
592,-0.0023624191284447316
593,-0.0029687378895911993
594,-0.0023061700389267335
595,-0.0020132296578465273
596,-0.0013142375334047177
597,-0.0025822253953752382
598,-0.00179463288498835
