subj_idx,condition,rt,response,ams,pams,slps,ams_quantile,pams_quantile,slps_quantile,ams_bin,pam_bin,slp_bin,bin_id,ams_bin_cpp
sub-07,0.0,0.339611999923363,a,0.5413787772639538,0.3622786691598625,0.935407776928434,4th,4th,4th,0.813811793056568,0.7581736475407744,1.2158635162430274,639,0.5414383046888013
sub-08,1.0,0.292746199993417,a,0.5414254009951326,-0.0476654934415549,0.1288323653415439,3rd,2nd,3rd,0.303681113164678,-0.3446643977538662,0.3751660619566672,639,0.5414383046888013
sub-20,1.0,0.615181399974972,a,0.5414393867195398,0.2268117315120436,-1.9808188018676345,3rd,3rd,1st,0.538907348963851,0.3732420954056062,-1.3053583858504996,639,0.5414383046888013
sub-18,1.0,0.705741600017063,f,0.54162267428037,-0.4291844455163496,2.5604106165295013,3rd,2nd,4th,0.4819890124616554,-0.2143338919288813,1.3004980638498875,639,0.5414383046888013
sub-06,1.0,0.412467399961315,f,0.5416427619088281,-2.0846756448989208,-1.2954233439202418,3rd,1st,1st,0.5151445930410532,-1.3667707029755272,-1.221473399006458,639,0.5414383046888013
sub-13,0.0,0.262751100002788,f,0.5417423564010886,0.0503897511476729,0.9240703700838844,3rd,3rd,4th,0.3361811569603536,0.2993965196826416,1.3974322700713318,639,0.5414383046888013
sub-10,1.0,0.51553099998273,f,0.541975516763217,0.5819536270726183,1.5601422900388338,3rd,3rd,4th,0.3446517494260608,0.3031748084609505,1.305134776379986,639,0.5414383046888013
sub-10,1.0,0.362711500027217,f,0.5421907441100408,0.2492577907672455,-0.9175991525764916,3rd,3rd,1st,0.3446517494260608,0.3031748084609505,-1.234897725291273,639,0.5414383046888013
sub-04,0.0,0.8293014,a,0.5422239902611141,-4.223554127299649,-1.471065957394908,3rd,1st,1st,0.306506175688641,-1.255032058739156,-1.234350877293508,639,0.5414383046888013
sub-07,0.0,0.452679400099441,f,0.5422831651154271,0.4389963228761088,0.4846219589424639,4th,4th,3rd,0.813811793056568,0.7581736475407744,0.4345393507475761,639,0.5414383046888013
sub-08,0.0,0.277884799987078,f,0.542340787057776,-0.6255739846042406,0.7453949529023912,3rd,2nd,4th,0.303681113164678,-0.3446643977538662,1.203601748734519,639,0.5414383046888013
sub-03,1.0,0.523942,f,0.5423682950011662,0.1409958804783047,1.148483101753353,3rd,3rd,4th,0.2960600786664989,0.2013397608808159,1.1708044974027534,640,0.5439685206781091
sub-15,0.0,0.462751199986087,f,0.5426034602383069,0.0392622200491227,-0.3491489337385323,3rd,2nd,2nd,0.4706203904159861,-0.1323354925524285,-0.3095557878595895,640,0.5439685206781091
sub-05,0.0,0.342949600017164,a,0.5430143012059054,1.2892783936976449,-0.1705395657695747,3rd,4th,2nd,0.4536186193268918,1.1854402731997449,-0.2101509656399988,640,0.5439685206781091
sub-06,1.0,0.373352699971292,a,0.5431600678673998,0.3620579017962024,0.7354996815903588,3rd,3rd,4th,0.5151445930410532,0.4474466470634959,1.2743937791506856,640,0.5439685206781091
sub-06,1.0,0.350877599965315,f,0.5431802048135153,-1.1720367468655726,-0.9686632341831992,3rd,1st,1st,0.5151445930410532,-1.3667707029755272,-1.221473399006458,640,0.5439685206781091
sub-08,0.0,0.285237900097854,a,0.5433649317260822,-1.3316471897715794,0.6116904108004566,3rd,1st,3rd,0.303681113164678,-1.2302624834554556,0.3751660619566672,640,0.5439685206781091
sub-01,1.0,0.4346419,f,0.5436802379769842,0.8101766175019135,0.2308699071975893,4th,4th,3rd,1.1575385365776718,1.224268426534567,0.3207276843796007,640,0.5439685206781091
sub-20,0.0,0.482134300051257,f,0.5439367920530018,-1.5209193543208603,0.1776392629261115,3rd,1st,3rd,0.538907348963851,-1.370887691425796,0.3415061287448191,640,0.5439685206781091
sub-16,1.0,0.411525300005451,a,0.5439970752397545,0.4738065916412943,-0.6942487087323829,3rd,3rd,1st,0.3418155237690443,0.3013667450546538,-1.296676604691821,640,0.5439685206781091
sub-18,0.0,0.20214589999523,a,0.5440220024496101,-2.225202890572945,-0.2539597505919137,3rd,1st,2nd,0.4819890124616554,-1.30368509082108,-0.3640892145938942,640,0.5439685206781091
sub-06,1.0,0.392837700026575,a,0.5440352526677832,-2.385151852038533,0.0644003483112707,3rd,1st,3rd,0.5151445930410532,-1.3667707029755272,0.3166203385532229,640,0.5439685206781091
sub-18,1.0,0.572428799932823,a,0.5440927410764025,0.2943308147116169,1.5536779026071836,3rd,3rd,4th,0.4819890124616554,0.3461076285595179,1.3004980638498875,640,0.5439685206781091
